rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
11870	FBXO21	F-box protein 21	589231	0	0	0	0	0	0	1.00	1.00
11871	FBXO22	F-box protein 22	384730	0	0	0	0	0	0	1.00	1.00
11872	FBXO32	F-box protein 32	338570	0	0	0	0	0	0	1.00	1.00
11873	FBXO33	F-box protein 33	390236	0	0	0	0	0	0	1.00	1.00
11874	FBXO36	F-box protein 36	174903	0	0	0	0	0	0	1.00	1.00
11875	FBXO4	F-box protein 4	349624	0	0	0	0	0	0	1.00	1.00
11876	FBXO41	F-box protein 41	332749	0	0	0	0	0	0	1.00	1.00
11877	FBXO43	F-box protein 43	592133	0	0	0	0	0	0	1.00	1.00
11878	FBXO45	F-box protein 45	167513	0	0	0	0	0	0	1.00	1.00
11879	FBXO46	F-box protein 46	316080	0	0	0	0	0	0	1.00	1.00
11880	FBXO48		150460	0	0	0	0	0	0	1.00	1.00
11881	FBXO5	F-box protein 5	391172	0	0	0	0	0	0	1.00	1.00
11882	FBXO8	F-box protein 8	306602	0	0	0	0	0	0	1.00	1.00
11883	FBXO9	F-box protein 9	360476	0	0	0	0	0	0	1.00	1.00
11884	FBXW12	F-box and WD repeat domain containing 12	486127	0	0	0	0	0	0	1.00	1.00
11885	FBXW2	F-box and WD repeat domain containing 2	418744	0	0	0	0	0	0	1.00	1.00
11886	FBXW4	F-box and WD repeat domain containing 4	335714	0	0	0	0	0	0	1.00	1.00
11887	FBXW5	F-box and WD repeat domain containing 5	26977	0	0	0	0	0	0	1.00	1.00
11888	FBXW9	F-box and WD repeat domain containing 9	289518	0	0	0	0	0	0	1.00	1.00
11889	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	268352	0	0	0	0	0	0	1.00	1.00
11890	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	96977	0	0	0	0	0	0	1.00	1.00
11891	FCER2	Fc fragment of IgE, low affinity II, receptor for (CD23)	289915	0	0	0	0	0	0	1.00	1.00
11892	FCGR1B	Fc fragment of IgG, high affinity Ib, receptor (CD64)	150901	0	0	0	0	0	0	1.00	1.00
11893	FCGR2A	Fc fragment of IgG, low affinity IIa, receptor (CD32)	317684	0	0	0	0	0	0	1.00	1.00
11894	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	216931	0	0	0	0	0	0	1.00	1.00
11895	FCGR2C	Fc fragment of IgG, low affinity IIc, receptor for (CD32)	192951	0	0	0	0	0	0	1.00	1.00
11896	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	276129	0	0	0	0	0	0	1.00	1.00
11897	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)	213818	0	0	0	0	0	0	1.00	1.00
11898	FCHO1	FCH domain only 1	727089	0	0	0	0	0	0	1.00	1.00
11899	FCN3	ficolin (collagen/fibrinogen domain containing) 3 (Hakata antigen)	246798	0	0	0	0	0	0	1.00	1.00
11900	FCRLA	Fc receptor-like A	379943	0	0	0	0	0	0	1.00	1.00
11901	FCRLB	Fc receptor-like B	351859	0	0	0	0	0	0	1.00	1.00
11902	FDFT1	farnesyl-diphosphate farnesyltransferase 1	409955	0	0	0	0	0	0	1.00	1.00
11903	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	391765	0	0	0	0	0	0	1.00	1.00
11904	FDX1	ferredoxin 1	118117	0	0	0	0	0	0	1.00	1.00
11905	FDX1L	ferredoxin 1-like	98819	0	0	0	0	0	0	1.00	1.00
11906	FDXR	ferredoxin reductase	278770	0	0	0	0	0	0	1.00	1.00
11907	FECH	ferrochelatase (protoporphyria)	429422	0	0	0	0	0	0	1.00	1.00
11908	FEM1A	fem-1 homolog a (C. elegans)	298119	0	0	0	0	0	0	1.00	1.00
11909	FEM1B	fem-1 homolog b (C. elegans)	604092	0	0	0	0	0	0	1.00	1.00
11910	FER	fer (fps/fes related) tyrosine kinase	847593	0	0	0	0	0	0	1.00	1.00
11911	FER1L5	fer-1-like 5 (C. elegans)	743943	0	0	0	0	0	0	1.00	1.00
11912	FEV	FEV (ETS oncogene family)	31217	0	0	0	0	0	0	1.00	1.00
11913	FEZ1	fasciculation and elongation protein zeta 1 (zygin I)	410245	0	0	0	0	0	0	1.00	1.00
11914	FEZF2	FEZ family zinc finger 2	255630	0	0	0	0	0	0	1.00	1.00
11915	FFAR1	free fatty acid receptor 1	89896	0	0	0	0	0	0	1.00	1.00
11916	FFAR2	free fatty acid receptor 2	336838	0	0	0	0	0	0	1.00	1.00
11917	FFAR3	free fatty acid receptor 3	171213	0	0	0	0	0	0	1.00	1.00
11918	FGF1	fibroblast growth factor 1 (acidic)	165952	0	0	0	0	0	0	1.00	1.00
11919	FGF10	fibroblast growth factor 10	211511	0	0	0	0	0	0	1.00	1.00
11920	FGF11	fibroblast growth factor 11	142831	0	0	0	0	0	0	1.00	1.00
11921	FGF13	fibroblast growth factor 13	335416	0	0	0	0	0	0	1.00	1.00
11922	FGF14	fibroblast growth factor 14	302567	0	0	0	0	0	0	1.00	1.00
11923	FGF16	fibroblast growth factor 16	98618	0	0	0	0	0	0	1.00	1.00
11924	FGF17	fibroblast growth factor 17	117654	0	0	0	0	0	0	1.00	1.00
11925	FGF18	fibroblast growth factor 18	189476	0	0	0	0	0	0	1.00	1.00
11926	FGF19	fibroblast growth factor 19	98339	0	0	0	0	0	0	1.00	1.00
11927	FGF20	fibroblast growth factor 20	121793	0	0	0	0	0	0	1.00	1.00
11928	FGF21	fibroblast growth factor 21	145125	0	0	0	0	0	0	1.00	1.00
11929	FGF22	fibroblast growth factor 22	738	0	0	0	0	0	0	1.00	1.00
11930	FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	60960	0	0	0	0	0	0	1.00	1.00
11931	FGF4	fibroblast growth factor 4 (heparin secretory transforming protein 1, Kaposi sarcoma oncogene)	73760	0	0	0	0	0	0	1.00	1.00
11932	FGF7	fibroblast growth factor 7 (keratinocyte growth factor)	180269	0	0	0	0	0	0	1.00	1.00
11933	FGF8	fibroblast growth factor 8 (androgen-induced)	151569	0	0	0	0	0	0	1.00	1.00
11934	FGF9	fibroblast growth factor 9 (glia-activating factor)	214078	0	0	0	0	0	0	1.00	1.00
11935	FGFBP1	fibroblast growth factor binding protein 1	235160	0	0	0	0	0	0	1.00	1.00
11936	FGFBP2	fibroblast growth factor binding protein 2	210466	0	0	0	0	0	0	1.00	1.00
11937	FGFBP3	fibroblast growth factor binding protein 3	54827	0	0	0	0	0	0	1.00	1.00
11938	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	817689	0	0	0	0	0	0	1.00	1.00
11939	FGFR1OP	FGFR1 oncogene partner	364889	0	0	0	0	0	0	1.00	1.00
11940	FGFR1OP2	FGFR1 oncogene partner 2	264020	0	0	0	0	0	0	1.00	1.00
11941	FGFR2	fibroblast growth factor receptor 2 (bacteria-expressed kinase, keratinocyte growth factor receptor, craniofacial dysostosis 1, Crouzon syndrome, Pfeiffer syndrome, Jackson-Weiss syndrome)	925585	0	0	0	0	0	0	1.00	1.00
11942	FGFRL1	fibroblast growth factor receptor-like 1	37721	0	0	0	0	0	0	1.00	1.00
11943	FGG	fibrinogen gamma chain	462177	0	0	0	0	0	0	1.00	1.00
11944	FGL1	fibrinogen-like 1	298331	0	0	0	0	0	0	1.00	1.00
11945	FGL2	fibrinogen-like 2	442945	0	0	0	0	0	0	1.00	1.00
11946	FHAD1	forkhead-associated (FHA) phosphopeptide binding domain 1	151671	0	0	0	0	0	0	1.00	1.00
11947	FHIT	fragile histidine triad gene	160100	0	0	0	0	0	0	1.00	1.00
11948	FHL1	four and a half LIM domains 1	373424	0	0	0	0	0	0	1.00	1.00
11949	FHL2	four and a half LIM domains 2	295332	0	0	0	0	0	0	1.00	1.00
11950	FHL3	four and a half LIM domains 3	270681	0	0	0	0	0	0	1.00	1.00
11951	FIBCD1	fibrinogen C domain containing 1	110279	0	0	0	0	0	0	1.00	1.00
11952	FIBIN		189007	0	0	0	0	0	0	1.00	1.00
11953	FICD	FIC domain containing	431737	0	0	0	0	0	0	1.00	1.00
11954	FIGLA	folliculogenesis specific basic helix-loop-helix	114971	0	0	0	0	0	0	1.00	1.00
11955	FIGNL2	fidgetin-like 2	53523	0	0	0	0	0	0	1.00	1.00
11956	FILIP1	filamin A interacting protein 1	1239131	0	0	0	0	0	0	1.00	1.00
11957	FIS1	fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)	129195	0	0	0	0	0	0	1.00	1.00
11958	FITM2		226513	0	0	0	0	0	0	1.00	1.00
11959	FIZ1	FLT3-interacting zinc finger 1	102364	0	0	0	0	0	0	1.00	1.00
11960	FJX1	four jointed box 1 (Drosophila)	60045	0	0	0	0	0	0	1.00	1.00
11961	FKBP11	FK506 binding protein 11, 19 kDa	193011	0	0	0	0	0	0	1.00	1.00
11962	FKBP14	FK506 binding protein 14, 22 kDa	212940	0	0	0	0	0	0	1.00	1.00
11963	FKBP1A	FK506 binding protein 1A, 12kDa	78218	0	0	0	0	0	0	1.00	1.00
11964	FKBP1B	FK506 binding protein 1B, 12.6 kDa	115623	0	0	0	0	0	0	1.00	1.00
11965	FKBP2	FK506 binding protein 2, 13kDa	121590	0	0	0	0	0	0	1.00	1.00
11966	FKBP3	FK506 binding protein 3, 25kDa	220434	0	0	0	0	0	0	1.00	1.00
11967	FKBP4	FK506 binding protein 4, 59kDa	423291	0	0	0	0	0	0	1.00	1.00
11968	FKBP5	FK506 binding protein 5	492552	0	0	0	0	0	0	1.00	1.00
11969	FKBP6	FK506 binding protein 6, 36kDa	279645	0	0	0	0	0	0	1.00	1.00
11970	FKRP	fukutin related protein	37494	0	0	0	0	0	0	1.00	1.00
11971	FKSG83		161993	0	0	0	0	0	0	1.00	1.00
11972	FLCN	folliculin	525498	0	0	0	0	0	0	1.00	1.00
11973	FLII	flightless I homolog (Drosophila)	818398	0	0	0	0	0	0	1.00	1.00
11974	FLJ25363		11187	0	0	0	0	0	0	1.00	1.00
11975	FLJ35220		65445	0	0	0	0	0	0	1.00	1.00
11976	FLJ36031		9158	0	0	0	0	0	0	1.00	1.00
11977	FLJ37543		102416	0	0	0	0	0	0	1.00	1.00
11978	FLJ43859		4322	0	0	0	0	0	0	1.00	1.00
11979	FLJ44082		5685	0	0	0	0	0	0	1.00	1.00
11980	FLJ44635		125277	0	0	0	0	0	0	1.00	1.00
11981	FLOT1	flotillin 1	422214	0	0	0	0	0	0	1.00	1.00
11982	FLOT2	flotillin 2	346983	0	0	0	0	0	0	1.00	1.00
11983	FLRT1	fibronectin leucine rich transmembrane protein 1	532235	0	0	0	0	0	0	1.00	1.00
11984	FLRT2	fibronectin leucine rich transmembrane protein 2	671180	0	0	0	0	0	0	1.00	1.00
11985	FLRT3	fibronectin leucine rich transmembrane protein 3	656306	0	0	0	0	0	0	1.00	1.00
11986	FLT3LG	fms-related tyrosine kinase 3 ligand	126246	0	0	0	0	0	0	1.00	1.00
11987	FLVCR2	feline leukemia virus subgroup C cellular receptor family, member 2	509804	0	0	0	0	0	0	1.00	1.00
11988	FLYWCH1	FLYWCH-type zinc finger 1	167043	0	0	0	0	0	0	1.00	1.00
11989	FLYWCH2	FLYWCH family member 2	89955	0	0	0	0	0	0	1.00	1.00
11990	FMNL1	formin-like 1	823785	0	0	0	0	0	0	1.00	1.00
11991	FMNL2	formin-like 2	907182	0	0	0	0	0	0	1.00	1.00
11992	FMO1	flavin containing monooxygenase 1	549089	0	0	0	0	0	0	1.00	1.00
11993	FMO2	flavin containing monooxygenase 2 (non-functional)	487285	0	0	0	0	0	0	1.00	1.00
11994	FMO3	flavin containing monooxygenase 3	554621	0	0	0	0	0	0	1.00	1.00
11995	FMO4	flavin containing monooxygenase 4	593397	0	0	0	0	0	0	1.00	1.00
11996	FN3K	fructosamine 3 kinase	235020	0	0	0	0	0	0	1.00	1.00
11997	FNBP1L	formin binding protein 1-like	410753	0	0	0	0	0	0	1.00	1.00
11998	FNDC3A	fibronectin type III domain containing 3A	1192430	0	0	0	0	0	0	1.00	1.00
11999	FNDC7	fibronectin type III domain containing 7	568225	0	0	0	0	0	0	1.00	1.00
12000	FNIP2	folliculin interacting protein 2	924844	0	0	0	0	0	0	1.00	1.00
12001	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1	569751	0	0	0	0	0	0	1.00	1.00
12002	FOLR3	folate receptor 3 (gamma)	206860	0	0	0	0	0	0	1.00	1.00
12003	FOXA1	forkhead box A1	218672	0	0	0	0	0	0	1.00	1.00
12004	FOXC1	forkhead box C1	87571	0	0	0	0	0	0	1.00	1.00
12005	FOXD1	forkhead box D1	54654	0	0	0	0	0	0	1.00	1.00
12006	FOXD2	forkhead box D2	78023	0	0	0	0	0	0	1.00	1.00
12007	FOXD3	forkhead box D3	87577	0	0	0	0	0	0	1.00	1.00
12008	FOXD4	forkhead box D4	255363	0	0	0	0	0	0	1.00	1.00
12009	FOXD4L1	forkhead box D4-like 1	256008	0	0	0	0	0	0	1.00	1.00
12010	FOXD4L2	forkhead box D4-like 2	214329	0	0	0	0	0	0	1.00	1.00
12011	FOXD4L4	forkhead box D4-like 4	214329	0	0	0	0	0	0	1.00	1.00
12012	FOXD4L5	forkhead box D4-like 5	1601	0	0	0	0	0	0	1.00	1.00
12013	FOXD4L6	forkhead box D4-like 6	118631	0	0	0	0	0	0	1.00	1.00
12014	FOXE1	forkhead box E1 (thyroid transcription factor 2)	38815	0	0	0	0	0	0	1.00	1.00
12015	FOXE3	forkhead box E3	69242	0	0	0	0	0	0	1.00	1.00
12016	FOXF2	forkhead box F2	136857	0	0	0	0	0	0	1.00	1.00
12017	FOXH1	forkhead box H1	54716	0	0	0	0	0	0	1.00	1.00
12018	FOXI1	forkhead box I1	316217	0	0	0	0	0	0	1.00	1.00
12019	FOXI2	forkhead box I2	25862	0	0	0	0	0	0	1.00	1.00
12020	FOXI3		23296	0	0	0	0	0	0	1.00	1.00
12021	FOXJ1	forkhead box J1	97946	0	0	0	0	0	0	1.00	1.00
12022	FOXK2	forkhead box K2	254736	0	0	0	0	0	0	1.00	1.00
12023	FOXL1	forkhead box L1	130247	0	0	0	0	0	0	1.00	1.00
12024	FOXL2	forkhead box L2	97685	0	0	0	0	0	0	1.00	1.00
12025	FOXM1	forkhead box M1	765952	0	0	0	0	0	0	1.00	1.00
12026	FOXN1	forkhead box N1	468698	0	0	0	0	0	0	1.00	1.00
12027	FOXN2	forkhead box N2	431445	0	0	0	0	0	0	1.00	1.00
12028	FOXO1	forkhead box O1	461188	0	0	0	0	0	0	1.00	1.00
12029	FOXO4	forkhead box O4	431471	0	0	0	0	0	0	1.00	1.00
12030	FOXP1	forkhead box P1	767718	0	0	0	0	0	0	1.00	1.00
12031	FOXP3	forkhead box P3	251327	0	0	0	0	0	0	1.00	1.00
12032	FOXP4	forkhead box P4	453647	0	0	0	0	0	0	1.00	1.00
12033	FOXQ1	forkhead box Q1	22721	0	0	0	0	0	0	1.00	1.00
12034	FOXR1	forkhead box R1	271737	0	0	0	0	0	0	1.00	1.00
12035	FOXR2	forkhead box R2	302839	0	0	0	0	0	0	1.00	1.00
12036	FOXRED1	FAD-dependent oxidoreductase domain containing 1	295504	0	0	0	0	0	0	1.00	1.00
12037	FOXRED2	FAD-dependent oxidoreductase domain containing 2	584550	0	0	0	0	0	0	1.00	1.00
12038	FOXS1	forkhead box S1	273166	0	0	0	0	0	0	1.00	1.00
12039	FPGT	fucose-1-phosphate guanylyltransferase	570803	0	0	0	0	0	0	1.00	1.00
12040	FPR2	formyl peptide receptor 2	365237	0	0	0	0	0	0	1.00	1.00
12041	FRA10AC1		298089	0	0	0	0	0	0	1.00	1.00
12042	FRAT1	frequently rearranged in advanced T-cell lymphomas	8448	0	0	0	0	0	0	1.00	1.00
12043	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	4460	0	0	0	0	0	0	1.00	1.00
12044	FRG1	FSHD region gene 1	224252	0	0	0	0	0	0	1.00	1.00
12045	FRMD3	FERM domain containing 3	511716	0	0	0	0	0	0	1.00	1.00
12046	FRMD7	FERM domain containing 7	746098	0	0	0	0	0	0	1.00	1.00
12047	FRMD8	FERM domain containing 8	254068	0	0	0	0	0	0	1.00	1.00
12048	FRRS1	ferric-chelate reductase 1	648113	0	0	0	0	0	0	1.00	1.00
12049	FRS2	fibroblast growth factor receptor substrate 2	461730	0	0	0	0	0	0	1.00	1.00
12050	FSCN1	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	173674	0	0	0	0	0	0	1.00	1.00
12051	FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	918	0	0	0	0	0	0	1.00	1.00
12052	FSD1	fibronectin type III and SPRY domain containing 1	345697	0	0	0	0	0	0	1.00	1.00
12053	FSD1L	fibronectin type III and SPRY domain containing 1-like	60826	0	0	0	0	0	0	1.00	1.00
12054	FSD2	fibronectin type III and SPRY domain containing 2	649490	0	0	0	0	0	0	1.00	1.00
12055	FSIP2	fibrous sheath interacting protein 2	1341862	0	0	0	0	0	0	1.00	1.00
12056	FST	follistatin	316121	0	0	0	0	0	0	1.00	1.00
12057	FSTL1	follistatin-like 1	306498	0	0	0	0	0	0	1.00	1.00
12058	FSTL3	follistatin-like 3 (secreted glycoprotein)	23159	0	0	0	0	0	0	1.00	1.00
12059	FTCD	formiminotransferase cyclodeaminase	59211	0	0	0	0	0	0	1.00	1.00
12060	FTHL17	ferritin, heavy polypeptide-like 17	148772	0	0	0	0	0	0	1.00	1.00
12061	FTL	ferritin, light polypeptide	136412	0	0	0	0	0	0	1.00	1.00
12062	FTSJ1	FtsJ homolog 1 (E. coli)	311417	0	0	0	0	0	0	1.00	1.00
12063	FTSJ2	FtsJ homolog 2 (E. coli)	202926	0	0	0	0	0	0	1.00	1.00
12064	FTSJD1		682891	0	0	0	0	0	0	1.00	1.00
12065	FUBP1	far upstream element (FUSE) binding protein 1	655406	0	0	0	0	0	0	1.00	1.00
12066	FUCA1	fucosidase, alpha-L- 1, tissue	348052	0	0	0	0	0	0	1.00	1.00
12067	FUNDC1	FUN14 domain containing 1	149643	0	0	0	0	0	0	1.00	1.00
12068	FUNDC2	FUN14 domain containing 2	160650	0	0	0	0	0	0	1.00	1.00
12069	FUS	fusion (involved in t(12;16) in malignant liposarcoma)	487424	0	0	0	0	0	0	1.00	1.00
12070	FUT10	fucosyltransferase 10 (alpha (1,3) fucosyltransferase)	485381	0	0	0	0	0	0	1.00	1.00
12071	FUT11	fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	338049	0	0	0	0	0	0	1.00	1.00
12072	FUT2	fucosyltransferase 2 (secretor status included)	275456	0	0	0	0	0	0	1.00	1.00
12073	FUT3	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)	274614	0	0	0	0	0	0	1.00	1.00
12074	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	72798	0	0	0	0	0	0	1.00	1.00
12075	FUT5	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	142244	0	0	0	0	0	0	1.00	1.00
12076	FUT6	fucosyltransferase 6 (alpha (1,3) fucosyltransferase)	218597	0	0	0	0	0	0	1.00	1.00
12077	FUT7	fucosyltransferase 7 (alpha (1,3) fucosyltransferase)	10589	0	0	0	0	0	0	1.00	1.00
12078	FUZ	fuzzy homolog (Drosophila)	150203	0	0	0	0	0	0	1.00	1.00
12079	FXC1	fracture callus 1 homolog (rat)	99009	0	0	0	0	0	0	1.00	1.00
12080	FXN	frataxin	166955	0	0	0	0	0	0	1.00	1.00
12081	FXR1	fragile X mental retardation, autosomal homolog 1	642032	0	0	0	0	0	0	1.00	1.00
12082	FXR2	fragile X mental retardation, autosomal homolog 2	482482	0	0	0	0	0	0	1.00	1.00
12083	FXYD1	FXYD domain containing ion transport regulator 1 (phospholemman)	77823	0	0	0	0	0	0	1.00	1.00
12084	FXYD4	FXYD domain containing ion transport regulator 4	97502	0	0	0	0	0	0	1.00	1.00
12085	FXYD5	FXYD domain containing ion transport regulator 5	189575	0	0	0	0	0	0	1.00	1.00
12086	FXYD6	FXYD domain containing ion transport regulator 6	93526	0	0	0	0	0	0	1.00	1.00
12087	FXYD7	FXYD domain containing ion transport regulator 7	79404	0	0	0	0	0	0	1.00	1.00
12088	FYCO1	FYVE and coiled-coil domain containing 1	1411765	0	0	0	0	0	0	1.00	1.00
12089	FYN	FYN oncogene related to SRC, FGR, YES	628148	0	0	0	0	0	0	1.00	1.00
12090	FYTTD1	forty-two-three domain containing 1	289100	0	0	0	0	0	0	1.00	1.00
12091	FZD1	frizzled homolog 1 (Drosophila)	370894	0	0	0	0	0	0	1.00	1.00
12092	FZD10	frizzled homolog 10 (Drosophila)	259989	0	0	0	0	0	0	1.00	1.00
12093	FZD2	frizzled homolog 2 (Drosophila)	378500	0	0	0	0	0	0	1.00	1.00
12094	FZD3	frizzled homolog 3 (Drosophila)	692831	0	0	0	0	0	0	1.00	1.00
12095	FZD4	frizzled homolog 4 (Drosophila)	438330	0	0	0	0	0	0	1.00	1.00
12096	FZD6	frizzled homolog 6 (Drosophila)	730218	0	0	0	0	0	0	1.00	1.00
12097	FZD8	frizzled homolog 8 (Drosophila)	225978	0	0	0	0	0	0	1.00	1.00
12098	FZD9	frizzled homolog 9 (Drosophila)	221834	0	0	0	0	0	0	1.00	1.00
12099	FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	30915	0	0	0	0	0	0	1.00	1.00
12100	G0S2	G0/G1switch 2	74973	0	0	0	0	0	0	1.00	1.00
12101	G3BP2	GTPase activating protein (SH3 domain) binding protein 2	493437	0	0	0	0	0	0	1.00	1.00
12102	G6PC2	glucose-6-phosphatase, catalytic, 2	373623	0	0	0	0	0	0	1.00	1.00
12103	G6PC3	glucose 6 phosphatase, catalytic, 3	303262	0	0	0	0	0	0	1.00	1.00
12104	GAB1	GRB2-associated binding protein 1	737527	0	0	0	0	0	0	1.00	1.00
12105	GABARAP	GABA(A) receptor-associated protein	83060	0	0	0	0	0	0	1.00	1.00
12106	GABARAPL1	GABA(A) receptor-associated protein like 1	99821	0	0	0	0	0	0	1.00	1.00
12107	GABPB2	GA binding protein transcription factor, beta subunit 2	456213	0	0	0	0	0	0	1.00	1.00
12108	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2	508093	0	0	0	0	0	0	1.00	1.00
12109	GABRD	gamma-aminobutyric acid (GABA) A receptor, delta	93047	0	0	0	0	0	0	1.00	1.00
12110	GABRG3	gamma-aminobutyric acid (GABA) A receptor, gamma 3	397297	0	0	0	0	0	0	1.00	1.00
12111	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	454718	0	0	0	0	0	0	1.00	1.00
12112	GABRR1	gamma-aminobutyric acid (GABA) receptor, rho 1	501691	0	0	0	0	0	0	1.00	1.00
12113	GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2	429993	0	0	0	0	0	0	1.00	1.00
12114	GABRR3	gamma-aminobutyric acid (GABA) receptor, rho 3	371079	0	0	0	0	0	0	1.00	1.00
12115	GADD45G	growth arrest and DNA-damage-inducible, gamma	50721	0	0	0	0	0	0	1.00	1.00
12116	GADL1	glutamate decarboxylase-like 1	383201	0	0	0	0	0	0	1.00	1.00
12117	GAGE1	G antigen 1	68523	0	0	0	0	0	0	1.00	1.00
12118	GAGE10	G antigen 10	86285	0	0	0	0	0	0	1.00	1.00
12119	GAGE12B	G antigen 12B	64753	0	0	0	0	0	0	1.00	1.00
12120	GAGE12C	G antigen 12C	172810	0	0	0	0	0	0	1.00	1.00
12121	GAGE12D	G antigen 12D	172810	0	0	0	0	0	0	1.00	1.00
12122	GAGE12E	G antigen 12E	172810	0	0	0	0	0	0	1.00	1.00
12123	GAGE12F	G antigen 12F	96272	0	0	0	0	0	0	1.00	1.00
12124	GAGE12G	G antigen 12G	129873	0	0	0	0	0	0	1.00	1.00
12125	GAGE12H	G antigen 12H	107690	0	0	0	0	0	0	1.00	1.00
12126	GAGE12I	G antigen 12I	96272	0	0	0	0	0	0	1.00	1.00
12127	GAGE12J	G antigen 12J	48656	0	0	0	0	0	0	1.00	1.00
12128	GAGE2A	G antigen 2A	90585	0	0	0	0	0	0	1.00	1.00
12129	GAGE2B	G antigen 2B	41360	0	0	0	0	0	0	1.00	1.00
12130	GAGE2C	G antigen 2C	138009	0	0	0	0	0	0	1.00	1.00
12131	GAGE2D	G antigen 2D	99025	0	0	0	0	0	0	1.00	1.00
12132	GAGE2E	G antigen 2E	104001	0	0	0	0	0	0	1.00	1.00
12133	GAGE4	G antigen 4	31152	0	0	0	0	0	0	1.00	1.00
12134	GAGE5	G antigen 5	31152	0	0	0	0	0	0	1.00	1.00
12135	GAGE6	G antigen 6	65120	0	0	0	0	0	0	1.00	1.00
12136	GAGE7	G antigen 7	31152	0	0	0	0	0	0	1.00	1.00
12137	GAGE8	G antigen 8	104753	0	0	0	0	0	0	1.00	1.00
12138	GAL	galanin prepropeptide	102841	0	0	0	0	0	0	1.00	1.00
12139	GAL3ST1	galactose-3-O-sulfotransferase 1	284434	0	0	0	0	0	0	1.00	1.00
12140	GAL3ST2	galactose-3-O-sulfotransferase 2	47484	0	0	0	0	0	0	1.00	1.00
12141	GALC	galactosylceramidase	591703	0	0	0	0	0	0	1.00	1.00
12142	GALK1	galactokinase 1	95152	0	0	0	0	0	0	1.00	1.00
12143	GALK2	galactokinase 2	482465	0	0	0	0	0	0	1.00	1.00
12144	GALM	galactose mutarotase (aldose 1-epimerase)	357381	0	0	0	0	0	0	1.00	1.00
12145	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)	181842	0	0	0	0	0	0	1.00	1.00
12146	GALNT11	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	625109	0	0	0	0	0	0	1.00	1.00
12147	GALNT5	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	978288	0	0	0	0	0	0	1.00	1.00
12148	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)	658205	0	0	0	0	0	0	1.00	1.00
12149	GALNT9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)	166753	0	0	0	0	0	0	1.00	1.00
12150	GALNTL1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	527394	0	0	0	0	0	0	1.00	1.00
12151	GALNTL4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 4	578877	0	0	0	0	0	0	1.00	1.00
12152	GALNTL6		627459	0	0	0	0	0	0	1.00	1.00
12153	GALP	galanin-like peptide	124821	0	0	0	0	0	0	1.00	1.00
12154	GALR2	galanin receptor 2	134472	0	0	0	0	0	0	1.00	1.00
12155	GALR3	galanin receptor 3	78118	0	0	0	0	0	0	1.00	1.00
12156	GALT	galactose-1-phosphate uridylyltransferase	379125	0	0	0	0	0	0	1.00	1.00
12157	GAMT	guanidinoacetate N-methyltransferase	32100	0	0	0	0	0	0	1.00	1.00
12158	GANC	glucosidase, alpha; neutral C	966465	0	0	0	0	0	0	1.00	1.00
